"IntAngle","%I"
44.66524,99.36818
44.66,99.37363
44.65476,99.37908
44.64952,99.38453
44.64428,99.38997
44.63904,99.39542
44.6338,99.40087
44.62857,99.40631
44.62333,99.41176
44.61809,99.41721
44.61285,99.42265
44.60761,99.4281
44.60237,99.39433
44.59713,99.36056
44.59189,99.3268
44.58665,99.29303
44.58141,99.25926
44.57617,99.26471
44.57093,99.27016
44.5657,99.27561
44.56046,99.28105
44.55522,99.28649
44.54998,99.29194
44.54474,99.29739
44.5395,99.30284
44.53426,99.30828
44.52902,99.31373
44.52378,99.24837
44.51854,99.18301
44.51331,99.11765
44.50806,99.11765
44.50283,99.11765
44.49759,99.11765
44.49235,99.11765
44.48711,99.11765
44.48187,99.11765
44.47663,99.11765
44.47139,99.11765
44.46615,99.01961
44.46091,98.92157
44.45567,98.93557
44.45044,98.94958
44.4452,98.96359
44.43996,98.97759
44.43472,98.95892
44.42948,98.94024
44.42424,98.92157
44.419,98.90289
44.41376,98.88422
44.40852,98.86555
44.40329,98.81419
44.39805,98.76283
44.39281,98.71148
44.38757,98.72549
44.38233,98.82353
44.37709,98.92157
44.37185,98.85621
44.36662,98.79085
44.36138,98.72549
44.35614,98.56209
44.3509,98.39869
44.34566,98.52942
44.34042,98.75817
44.33518,98.72549
44.32994,98.69281
44.32471,98.66013
44.31947,98.69281
44.31423,98.72549
44.30899,98.75817
44.30375,98.79085
44.29852,98.82353
44.29327,98.85621
44.28804,98.88889
44.2828,98.92157
44.27756,98.92157
44.27232,98.92157
44.26708,98.88236
44.26184,98.84314
44.25661,98.80393
44.25137,98.76471
44.24613,98.72549
44.24089,98.72549
44.23565,98.72549
44.23042,98.72549
44.22518,98.72549
44.21994,98.72549
44.2147,98.72549
44.20947,98.72549
44.20423,98.72549
44.19899,98.72549
44.19375,98.72549
44.18851,98.72549
44.18327,98.72549
44.17804,98.72549
44.1728,98.72549
44.16756,98.72549
44.16232,98.72549
44.15709,98.75817
44.15185,98.79085
44.14661,98.82353
44.14137,98.85621
44.13614,98.88889
44.1309,98.82353
44.12566,98.75818
44.12042,98.98693
44.11518,99.01961
44.10995,99.05228
44.10471,98.98693
44.09947,98.92157
44.09423,98.88236
44.089,98.84314
44.08376,98.80392
44.07852,98.76471
44.07328,98.7255
44.06805,98.7255
44.06281,98.7255
44.05758,98.7255
44.05234,98.7255
44.0471,98.7255
44.04186,98.7255
44.03662,98.7255
44.03139,98.7255
44.02615,98.7255
44.02092,98.77778
44.01568,98.83006
44.01044,98.88235
44.0052,98.77125
43.99997,98.66014
43.99473,98.64707
43.98949,98.634
43.98426,98.62092
43.97902,98.60785
43.97379,98.79085
43.96855,98.77777
43.96331,98.76471
43.95808,98.75163
43.95284,98.73856
43.9476,98.72548
43.94237,98.72548
43.93713,98.72548
43.9319,98.72548
43.92666,98.92157
43.92142,98.85622
43.91619,98.75163
43.91095,98.64705
43.90572,98.62418
43.90048,98.6013
43.89524,98.57843
43.89001,98.59477
43.88477,98.61111
43.87954,98.62745
43.8743,98.64379
43.86906,98.63561
43.86383,98.62745
43.85859,98.61928
43.85336,98.61111
43.84812,98.60294
43.84289,98.57843
43.83765,98.55392
43.83242,98.52941
43.82718,98.52941
43.82195,98.52941
43.81671,98.46405
43.81147,98.39869
43.80624,98.33333
43.80101,98.33333
43.79577,98.33333
43.79053,98.43137
43.7853,98.52941
43.78007,98.52941
43.77483,98.52941
43.7696,98.43137
43.76436,98.33334
43.75913,98.3987
43.75389,98.52941
43.74866,98.66012
43.74342,98.66013
43.73819,98.49673
43.73296,98.33333
43.72772,98.43137
43.72249,98.52942
43.71725,98.51307
43.71202,98.49673
43.70679,98.28431
43.70155,98.26798
43.69632,98.25163
43.69108,98.23529
43.68585,98.21896
43.68061,98.20261
43.67538,98.18627
43.67015,98.16994
43.66492,98.1536
43.65968,98.13725
43.65445,98.13725
43.64922,98.33333
43.64398,98.34559
43.63875,98.35784
43.63351,98.3701
43.62828,98.28432
43.62305,98.19852
43.61782,98.30883
43.61258,98.41912
43.60735,98.43137
43.60212,98.34559
43.59689,98.2598
43.59165,98.27206
43.58642,98.28431
43.58119,98.29656
43.57595,98.30882
43.57072,98.32107
43.56549,98.33333
43.56026,98.52941
43.55503,98.28431
43.54979,98.2353
43.54456,98.18628
43.53933,98.13726
43.5341,98.13726
43.52887,98.03922
43.52363,98.2353
43.5184,98.33334
43.51317,98.33334
43.50794,98.33334
43.50271,98.2353
43.49747,98.13726
43.49224,98.13726
43.48701,98.13726
43.48178,98.13726
43.47655,98.13726
43.47132,98.13726
43.46609,98.13726
43.46086,98.13726
43.45563,97.94117
43.4504,98.00654
43.44516,98.0719
43.43993,98.03921
43.4347,98.00654
43.42947,97.97385
43.42424,97.94118
43.41901,97.7451
43.41378,97.84314
43.40855,97.94118
43.40332,97.94118
43.39809,97.94118
43.39286,97.84314
43.38763,97.7451
43.3824,97.45099
43.37717,97.35295
43.37194,97.54903
43.36671,97.45098
43.36148,97.35294
43.35625,97.47276
43.35102,97.5926
43.34579,97.51634
43.34056,97.44008
43.33534,97.36383
43.33011,97.28759
43.32488,97.21133
43.31965,97.13507
43.31442,97.05883
43.30919,97.00981
43.30396,96.86274
43.29874,96.71568
43.29351,96.66666
43.28828,96.56862
43.28305,96.17647
43.27782,95.88235
43.27259,95.58823
43.26736,95.39215
43.26214,94.80392
43.25691,94.21568
43.25168,93.60567
43.24646,92.99564
43.24123,92.5817
43.236,92.75599
43.23077,93.51852
43.22554,94.67321
43.22032,95.43573
43.21509,96.59042
43.20986,97.35295
43.20464,98.03921
43.19941,98.33333
43.19418,98.52941
43.18895,98.52941
43.18373,98.52941
43.1785,98.62745
43.17327,98.72549
43.16805,98.52941
43.16282,98.52941
43.1576,98.72549
43.15237,98.7037
43.14714,98.64627
43.14192,98.58883
43.13669,98.53138
43.13147,98.47395
43.12624,98.41651
43.12101,98.35908
43.11579,98.30164
43.11057,98.2442
43.10534,98.20855
43.10011,98.1729
43.09489,98.13725
43.08966,98.16527
43.08444,98.19327
43.07921,98.20168
43.07399,98.21008
43.06876,98.21848
43.06354,98.22688
43.05832,98.23529
43.05309,98.41176
43.04787,98.41394
43.04264,98.41611
43.03742,98.4183
43.0322,98.42048
43.02697,98.44227
43.02175,98.46404
43.01652,98.45782
43.0113,98.4516
43.00608,98.44538
43.00085,98.31933
42.99563,98.19328
42.99041,98.16527
42.98518,98.13725
42.97996,98.03921
42.97474,97.94117
42.96951,98.13725
42.96429,98.03921
42.95907,97.94118
42.95385,98.26798
42.94862,98.20262
42.9434,98.13725
42.93818,98.13725
42.93296,98.13725
42.92773,98.16994
42.92251,98.20262
42.91729,98.13726
42.91207,98.13726
42.90685,97.94117
42.90163,97.94117
42.8964,98.13725
42.89119,98.13725
42.88596,97.94118
42.88074,97.94118
42.87552,97.94118
42.8703,97.94118
42.86508,97.94118
42.85986,97.94118
42.85464,97.98039
42.84942,98.01961
42.8442,98.05882
42.83898,98.09804
42.83376,98.13725
42.82854,97.94118
42.82332,97.74511
42.8181,97.87582
42.81288,98.00654
42.80766,98.13726
42.80244,98.03922
42.79722,97.94117
42.792,97.94117
42.78678,97.94117
42.78156,97.94117
42.77634,97.9902
42.77113,98.03922
42.76591,97.9902
42.76069,97.94118
42.75547,97.7451
42.75025,97.84314
42.74503,97.94118
42.73982,97.94118
42.7346,97.94118
42.72938,97.84314
42.72416,97.7451
42.71894,97.62255
42.71373,97.5
42.70851,97.86764
42.70329,97.84314
42.69808,97.81862
42.69286,97.79411
42.68764,97.7696
42.68243,97.74509
42.67721,97.74509
42.67199,97.74509
42.66678,97.74509
42.66156,97.64705
42.65635,97.54902
42.65113,97.64705
42.64591,97.74509
42.6407,97.59804
42.63548,97.64706
42.63026,97.69608
42.62505,97.7171
42.61983,97.62371
42.61462,97.53035
42.60941,97.43697
42.60419,97.507
42.59898,97.57704
42.59376,97.54903
42.58855,97.5
42.58333,97.45099
42.57812,97.5
42.5729,97.54902
42.56769,97.52451
42.56248,97.5
42.55726,97.47549
42.55205,97.45098
42.54683,97.42647
42.54162,97.5
42.53641,97.57353
42.5312,97.54902
42.52598,97.45098
42.52077,97.35294
42.51556,97.35294
42.51035,97.35294
42.50513,97.33333
42.49992,97.31372
